YR,Height,Player,Team,Conf,GP,Position,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,Rim%,FT%,2PT%,3PR,3P/100,3PT%
So,6-4,Christian Hammond,Santa Clara,WCC,11,G,67.4,4.5,2.7,7.2,6.6,0.5,125.9,106.4,23.5,58.2,62,1,11.7,16.1,12.9,1.4,0.4,1.8,36.6,2.5,0.469,0.796,0.512,38.8,9.2,0.462
Sr,6-5,Nasir Mann,Queens,ASun,11,G,77.7,4.5,1.2,3.7,6.1,-2.3,132.1,121.5,21,62.2,65.1,8.8,10.1,14.1,11.7,1.8,0.6,2.1,28.6,2.1,0.717,0.824,0.639,30.3,5.9,0.389
Jr,6-1,Dedan Thomas Jr.,LSU,SEC,11,G,73.9,4.5,3.2,7.4,6.1,1.3,124.8,101.5,26.2,50,56.8,1.2,8.7,38,12.5,3.8,1,2.3,47.5,2.1,0.674,0.825,0.545,26.7,5.5,0.25
So,5-9,Jaquan Johnson,Bradley,MVC,11,G,69.8,4.5,3.8,13.1,7.3,5.8,124.2,93.2,29.4,55.2,61.3,4,13.5,26.3,10,2.5,0.4,6.6,69.4,3.3,0.62,0.756,0.544,36.3,8.2,0.378
Sr,6-4,Davion Bailey,Incarnate Word,Slnd,8,G,89.9,4.5,1.6,2.8,6.6,-3.7,112.9,119.8,28.8,51.8,55.6,1.6,12.5,10.3,10,1.2,0.4,0.6,32.6,2.6,0.524,0.761,0.4,61,17.8,0.395
Sr,6-0,Brayden Maldonado,Seattle,WCC,10,G,77.9,4.4,4,9.1,6.2,2.9,129.8,96.2,22.8,61.2,66.9,2.5,14.4,16.4,12,1.6,0.4,4,33.9,2.4,0.541,0.974,0.586,48.2,9.9,0.426
Sr,6-8,Chandler Cuthrell,Elon,CAA,11,F,67.9,4.4,1.9,4.6,6.5,-1.9,119.5,112.8,33.5,55.9,59.7,10.2,19.3,11.5,12.5,0.7,1.7,2.3,59.9,3.1,0.617,0.692,0.598,23,6.6,0.286
Sr,6-8,John Camden,California,ACC,11,F,75.9,4.4,3.5,7.8,6.9,0.9,137.8,99.9,18.8,65.1,68.2,4.5,12.6,12.3,8.2,2.4,1,1.2,27.5,2.5,0.783,0.867,0.622,66.1,12.4,0.444
So,6-5,De'Undrae Perteete,UC Riverside,BW,11,G,75.2,4.4,1.7,3.1,3.4,-0.4,151.2,116.7,10.3,84,81.9,4.1,11,14.7,13.3,3.9,0.9,1.4,38.3,3,0.786,0.667,0.636,53.2,4.3,0.68
Sr,5-10,Kenyon Giles,Wichita St.,Amer,11,G,82.8,4.4,3.7,8.5,6,2.5,124.6,101.1,22.4,55.2,58.1,0.3,7.6,9.5,9.5,1.4,0.3,3.1,21.9,2,0.435,0.824,0.471,54.8,14,0.412
Jr,6-7,Jack Karasinski,Bellarmine,ASun,9,F,77.5,4.4,1.8,3.9,6.4,-2.5,123.3,116,26.9,65.8,68.4,4,20.4,5.1,10.9,0.4,1,1.9,48.6,2.3,0.765,0.759,0.742,44.1,10.3,0.367
Sr,5-10,Nijel Pack,Oklahoma,SEC,11,G,74.7,4.4,2.5,7.9,7.9,0,128.7,108.7,22,64.7,65.9,2.3,9.3,18.8,14.8,1.7,1.6,1.4,10.3,3.4,0.615,0.857,0.532,65.4,15.2,0.472
Sr,6-3,Nick Boyd,Wisconsin,B10,11,G,72.4,4.4,3,6.7,5.9,0.9,116.3,103.3,30.6,53.6,57.5,2.4,10.1,26.4,12.5,1.7,0,2.6,30.4,2.5,0.627,0.804,0.571,37.5,11,0.317
Sr,5-11,Brody Robinson,Oakland,Horz,12,G,88.1,4.4,1.8,2.3,4.6,-2.3,117.2,117.8,22.6,53.8,60,0.8,7.1,29.6,16,2.9,0.2,1.8,76.1,1.6,0.512,0.73,0.48,57.3,8.7,0.388
So,6-6,Isaac Celiscar,Yale,Ivy,10,G,76.9,4.3,2.4,4.1,4.2,-0.1,133.8,110.5,19.9,61,67.6,6.1,15.3,16.4,14.7,2.2,0.4,1.7,62.3,3.2,0.704,0.854,0.672,20.8,3.1,0.25
Sr,6-8,Ven-Allen Lubin,N.C. State,ACC,13,F,64.6,4.3,3.1,7.2,6,1.2,135.8,98.4,19.6,70.5,71,12.1,17.5,7.5,12.6,0.9,2.5,1.5,43,4,0.739,0.698,0.71,7,1.2,0.429
Jr,6-8,Amani Hansberry,Virginia Tech,ACC,12,F,69.2,4.3,4,9.2,6.3,2.9,123.6,94.8,25.5,54.8,57.3,11.3,19.6,20.2,9.8,2.4,3.4,3.1,33.3,4.1,0.675,0.694,0.598,27.2,6.2,0.275
Sr,6-8,Ethan Potter,Utah Tech,WAC,10,C,76.4,4.3,2.4,3.8,4.9,-1.1,123.6,110.1,25.5,56.6,61.3,11,16.6,11,10.1,1.2,3.7,0.9,40.2,2.8,0.632,0.816,0.6,5.7,1.3,0
So,6-7,Juke Harris,Wake Forest,ACC,13,F,75.7,4.3,3.8,7,5.9,1.1,119.9,96.8,27,55.2,61.4,6,19.4,9.7,13.9,0.7,1,2.6,63.6,3,0.593,0.777,0.597,52.5,11.8,0.341
Jr,6-9,Thomas Haugh,Florida,SEC,12,F,84.1,4.3,4.4,8.2,5.8,2.4,121.5,95.1,21.5,56.4,60.4,6.8,12.4,12.5,16.9,1,2.2,0.9,48.6,2.6,0.667,0.735,0.613,46.4,8.8,0.338
So,6-5,Teagan Moore,Western Kentucky,CUSA,9,G,73.4,4.3,2.9,7.6,6.5,1.1,122.5,104,26.7,53.4,62,8.5,13.1,17.4,13.5,1.6,2.8,2.2,65.7,3.6,0.702,0.851,0.588,16.7,3.4,0.176
