YR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
Fr,6-6,Romeo Langford,Indiana,B10,32,G,76.8,3.8,4,5,4,1.1,106,94.9,25.5,49.1,54.2,4.8,12.8,14.2,14.2,1.1,2.7,1.3,49.1,2.2,0.659,0.722,0.53,31.6,6.7,0.272
Fr,6-6,Kasparas Jakucionis,Illinois,B10,33,G,74.5,3.8,3.9,5.3,3.6,1.8,109.3,96.3,25.6,51.9,59,4.9,13.6,26,25.4,1.3,0.8,1.5,49.6,3.3,0.673,0.845,0.562,50.1,9,0.318
Sr,6-5,Orlando Johnson,UC Santa Barbara,BW,119,G,77.6,3.8,2.7,5.3,5.9,-0.6,107,102.4,29.8,52.3,56.5,6.7,14.1,21.1,16.9,1,1.9,1.8,44.2,2.9,0.664,0.726,0.489,35.3,8.8,0.389
So,6-5,Jarrett Culver,Texas Tech,B12,75,G,73.2,3.8,4.7,9.2,5.3,3.9,108.1,84.1,27.4,51.8,54.8,5.3,16.8,20.1,15.6,1.3,2.6,2.6,36.1,2.7,0.641,0.687,0.521,35.1,8.2,0.341
Jr,6-5,Joel Ayayi,Gonzaga,WCC,88,G,51.3,3.8,3.6,7.8,5,2.8,125.2,90.6,16.8,60.1,62.3,6.3,18.3,14.5,15.1,2.2,0.7,2.1,24,2.7,0.72,0.776,0.643,40.3,5.8,0.36
Jr,6-6,Joe Wieskamp,Iowa,B10,97,G,74,3.8,3.2,6.3,5.3,1.1,117.2,97.2,19.3,56.7,60.1,5.1,16,9.1,13.2,1.1,1.5,1.8,34.2,2.2,0.619,0.771,0.519,48.5,8.8,0.412
Sr,6-6,Malcolm Hill,Illinois,B10,136,G,69.4,3.8,3.4,5.9,4.3,1.7,110,96.6,25.4,49.3,55.4,4.8,15.4,16,13.7,1.3,1.1,1.9,48.9,2.7,0.756,0.795,0.476,33.5,7,0.352
Fr,6-5,Anthony Edwards,Georgia,SEC,31,G,78.8,3.8,3.3,4.9,4.4,0.5,103,98.3,28.8,47,52.2,2.4,14.5,17.9,15.4,1,1.6,2.3,33.8,2.7,0.69,0.77,0.502,48.6,12.8,0.291
Jr,6-7,Dillon Brooks,Oregon,P12,106,G,68.9,3.7,3.2,5.1,4.2,0.9,110.9,97.1,26,52.4,56.6,6.6,11.1,18,16.7,1.2,1.7,1.8,30.9,4.1,0.63,0.791,0.513,30,6.9,0.366
Sr,6-5,John Holland,Boston University,AE,129,G,79,3.7,3,5,4.6,0.4,111,99.7,26.1,51,56.2,6,13.8,9.6,13.9,0.6,1.2,2.9,37.8,3.1,0.656,0.807,0.493,43.1,10.5,0.355
Fr,6-5,Malik Beasley,Florida St.,ACC,34,G,74.3,3.7,3.2,5.3,4.8,0.5,114.9,98.9,23,54.1,58.3,5,15.1,9.8,14,0.9,0.6,1.8,32.6,3,0.674,0.813,0.518,36.1,7.8,0.387
Sr,6-4,Rodney McGruder,Kansas St.,B12,133,G,66.8,3.7,3.5,7.2,5.9,1.4,116.8,92.7,20,52.5,55.5,7.8,12.8,10.9,14.1,1.1,1,1.9,26,2.2,0.649,0.756,0.496,39.2,7.9,0.381
Sr,6-5,Tyler Hall,Montana St.,BSky,120,G,78.5,3.7,2.1,4.8,6.1,-1.2,115.9,111.6,25.9,55.8,59.4,2.1,14.6,16.8,12.7,1.3,1,1.7,23.6,2.5,0.608,0.862,0.51,57,14.5,0.397
So,6-5,James Bouknight,Connecticut,BE,43,G,54.4,3.7,3.1,5.8,4.8,1,108.1,95.1,26.8,50.3,55.4,6.1,12.8,12,16.9,0.7,0.9,1.9,36.7,3.4,0.615,0.802,0.513,29.6,7.2,0.32
So,6-7,Dereon Seabron,N.C. State,ACC,56,G,67.3,3.7,2.7,4.2,4.1,0.1,107.6,101.2,24.4,50.7,54.7,7.7,17.9,16.3,16.7,1.1,0.7,2.3,45.1,1.9,0.558,0.694,0.526,12.6,2.4,0.25
Sr,6-4,Taelon Peter,Liberty,CUSA,32,G,53,3.7,2.8,9.1,7,2.2,132.3,97.3,20.8,71.5,74.6,1.4,18.3,9.9,8.1,1.7,0.4,2.3,32.7,3.7,0.785,0.771,0.758,61,12.5,0.458
Sr,6-7,Jamel Artis,Pittsburgh,ACC,133,G,67.8,3.7,2.9,5.2,4.9,0.3,111.7,100.2,23.9,54.2,57.9,6,14.3,17.8,17.3,1.2,1.2,1.1,40.5,2.5,0.622,0.761,0.524,36.5,7.4,0.382
So,6-5,Jordan Hawkins,Connecticut,BE,64,G,51,3.7,3.2,5.5,4.6,0.8,115.5,93.4,22.3,51.2,56.4,3.8,11,7.8,13.6,0.8,2,1.4,30.7,2.9,0.512,0.872,0.428,62,14.4,0.376
Fr,6-6,James Young,Kentucky,SEC,40,G,80.2,3.7,3.6,5.1,3.9,1.1,111.7,97,21.8,49.8,53.6,3.7,11,10.8,15.9,0.9,0.6,1.4,39.3,2.6,0.629,0.706,0.47,52.2,10.9,0.349
So,6-4,Josh Okogie,Georgia Tech,ACC,60,G,71.9,3.6,4.2,5.8,3.5,2.4,105.4,93,26.7,47.8,54.7,6.1,13.3,13.7,15.1,0.9,2.6,2.6,53.9,3.3,0.515,0.777,0.453,23,5,0.376
Jr,6-4,Travis Leslie,Georgia,SEC,90,G,60.4,3.6,3.1,7.1,5.6,1.5,108.3,94.5,26.3,49.2,53.7,12.4,14.7,18.9,17.5,1.1,2.8,2.6,38.5,2.7,0.645,0.743,0.492,6.6,1.5,0.333
Jr,6-6,Tim Hardaway Jr.,Michigan,B10,104,G,82,3.6,3.7,4.7,3.6,1.1,105.9,94.4,24,50.5,53.7,2.2,12.7,13.1,13.7,1.2,1,1.4,30.6,2.4,0.7,0.724,0.5,47.5,10.6,0.34
Sr,6-5,Cory Higgins,Colorado,B12,127,G,83.9,3.6,3.2,3.9,3.2,0.7,106.8,99.9,23.6,50.9,57.7,2.7,12.2,15.8,18,1.1,1.2,2.6,48.8,2.7,0.636,0.825,0.504,25.8,4.8,0.348
Sr,6-7,Corey Kispert,Gonzaga,WCC,137,G,67.1,3.6,3.4,6.5,5,1.5,123.6,94.1,17,60.1,62.6,4.3,11.9,7.9,12.4,1.3,1.4,1.3,21.1,2.3,0.675,0.824,0.585,57.6,9.7,0.408
Jr,6-6,Colby Jones,Xavier,BE,86,G,74.1,3.6,3.7,5.6,3.6,2,111.1,95.1,20.4,54.2,56.9,6.3,15,19.8,17.8,1.7,1.6,2.4,40.5,2.7,0.602,0.679,0.552,27.7,4.4,0.344
Jr,6-3,Devin Carter,Providence,BE,95,G,69,3.6,4,7.8,4.5,3.2,108.3,91.8,25.2,51.3,55.7,4.4,18,19,16.3,1.3,2.8,3,44.9,2.5,0.614,0.722,0.514,39.9,8.3,0.34
Sr,6-5,Ochai Agbaji,Kansas,B12,120,G,71.2,3.6,4.1,5.9,3.9,2,108.4,91.7,19.8,54.1,56.3,3.5,11.4,9.4,15.6,1,1.6,1.7,23.2,2.2,0.675,0.712,0.527,50.7,9.7,0.37
Sr,6-7,Jeffery Taylor,Vanderbilt,SEC,133,G,72.9,3.5,3.4,5.3,4.2,1.1,108.1,93.5,25.7,52.4,56.2,8.9,13,14.4,17.8,0.8,1.5,2.2,47.9,3.2,0.648,0.693,0.52,23.2,4.8,0.358
So,6-4,Tyler Dorsey,Oregon,P12,73,G,72.2,3.5,3.4,4.7,4.2,0.5,114.2,97.3,21.5,55.4,58.6,4.2,10.3,11.2,15.5,1.1,0.5,1.5,37.9,2.4,0.616,0.73,0.491,49.8,9.6,0.413
Sr,6-6,Jordan McRae,Tennessee,SEC,112,G,55.2,3.5,3.2,6.1,4.7,1.4,105.8,95.8,26.3,48.5,53.5,2.9,11.3,15.8,17.4,1,3.2,1.4,38,2.8,0.676,0.77,0.468,43.7,10.5,0.337
Jr,6-6,Dillon Jones,Weber St.,BSky,110,G,75.8,3.5,3.8,5.8,3.6,2.2,111.4,97,25.6,53.9,59.3,4.3,32,22.5,18.9,1.3,0.2,3,50.8,2.4,0.633,0.821,0.56,27,4.9,0.321
Fr,6-6,Stephon Castle,Connecticut,BE,34,G,57.3,3.5,3.7,5.5,3.1,2.4,116.9,91.3,22.4,50.7,55.1,7.8,12,18.4,15,1.9,2.1,1.8,37.9,3.6,0.631,0.755,0.544,25.9,5,0.267
So,6-6,Aaron Harrison,Kentucky,SEC,79,G,72.4,3.5,3.8,6.4,3.5,2.9,114.7,90.7,20.5,48.7,53.6,2.1,8.4,11.4,12.9,1.3,0.8,2.3,36.1,2.5,0.682,0.787,0.474,46.2,9.6,0.335
Sr,6-5,Marqus Blakely,Vermont,AE,97,G,81,3.5,4.2,9.2,5.2,4,108.3,89.5,27.6,56.7,58.5,11.6,21.3,19.7,19.4,0.9,7.4,3.8,76.4,3.3,0.597,0.602,0.576,2.3,0.4,0.125
Fr,6-6,Justise Winslow,Duke,ACC,39,G,72.3,3.5,4.2,9,4.8,4.2,112.2,85.6,22.4,55.1,57.2,5.4,19.8,13.2,16.8,1.2,2.9,2.8,43.8,3.8,0.687,0.641,0.516,30.9,5.8,0.418
Sr,6-6,Keyontae Johnson,Kansas St.,B12,107,G,60.6,3.5,3.9,6,3.7,2.4,110.3,90.7,22.7,56.9,59.4,6.9,20,12.2,17.9,0.8,1.1,2.2,31.6,3.4,0.672,0.718,0.563,25.6,5,0.391
Fr,6-6,AJ Griffin,Duke,ACC,39,G,60.6,3.5,2.6,7.5,6.6,0.9,127.2,96,16.9,61.3,63,3.8,13.5,6.8,9.1,1.5,2.2,1.2,17.9,1.8,0.724,0.792,0.547,53.7,9.8,0.447
Sr,6-6,Dalton Knecht,Tennessee,SEC,100,G,70,3.4,2.8,4.9,5,-0.1,109.9,103,25.9,54.5,58,2.6,16.9,11,13.3,0.9,2,1.2,30.2,2.2,0.627,0.763,0.523,43.4,10.6,0.382
So,6-5,Terrico White,Mississippi,SEC,66,G,76.2,3.4,2.7,4,4.3,-0.3,109.8,101,22.7,50.4,52.6,4.2,9.6,12.5,12.6,1.2,0.7,1.6,24.2,2.3,0.6,0.68,0.49,43.4,10,0.348
Sr,6-5,Garrison Mathews,Lipscomb,ASun,126,G,66.1,3.4,2.6,4.4,5,-0.6,112.7,103.9,27.4,55,60,4.2,15.5,13.7,14.2,0.9,0.8,1.6,46.1,3.3,0.628,0.789,0.534,56.8,13.4,0.375
So,6-4,Jaylen Nowell,Washington,P12,70,G,83.2,3.4,3.7,2.8,2.2,0.6,106.5,97.4,25.6,52.7,56.3,3.5,13,19.3,18.6,1.1,0.8,2,28,3,0.676,0.789,0.504,25.7,5.6,0.396
Sr,6-6,Timmy Allen,Texas,B12,154,G,74.7,3.4,3.6,4,2.5,1.5,105.8,94.9,25.4,49.3,54.4,6.4,17.1,19.5,18,1.2,1.1,2.1,48.7,3.2,0.602,0.729,0.503,7.7,1.5,0.248
Jr,6-7,Jaylon Tyson,California,P12,70,G,50.8,3.4,3.4,5.7,4.1,1.7,108,97.3,24.6,53.2,56.3,5.9,17.3,16.8,17.9,1,1.6,2.4,24.2,2.6,0.615,0.776,0.519,33.1,7.2,0.372
Jr,6-6,Christian Braun,Kansas,B12,99,G,69.8,3.4,3.9,6.8,3.9,2.9,113.5,89.9,17.4,53.6,56.8,4.5,14.9,11.4,14.7,1.4,2,1.9,29.2,2.3,0.582,0.752,0.512,45,7.1,0.376
Jr,6-5,Victor Oladipo,Indiana,B10,104,G,61.3,3.4,3.4,9.1,5.5,3.6,113.3,87.8,23,57,60.4,10.4,14.7,14,20.5,0.9,2.3,3.8,47.7,3.9,0.644,0.716,0.585,18.8,3.3,0.338
So,6-7,Kevin Huerter,Maryland,B10,63,G,77.2,3.4,3.7,7,4.9,2.1,113.7,96.6,19.1,58.1,60.2,3.3,14.5,19,18.7,1.6,2.2,1.5,21.5,2.6,0.681,0.752,0.561,59.5,9.9,0.396
So,6-5,Donte DiVincenzo,Villanova,BE,85,G,46.4,3.4,3.4,6.6,4.3,2.4,115,93,21.2,57,59.1,5.6,13.2,16.2,17.8,1.5,0.9,2.2,29.9,2.8,0.642,0.705,0.573,53.3,9.3,0.378
Fr,6-6,Xavier Henry,Kansas,B12,36,G,68.3,3.4,3.8,8.2,5.6,2.6,113.7,86.7,21.7,55.5,59.1,5.2,11.5,9.8,18.2,0.8,1.8,3.1,32.5,2.7,0.667,0.783,0.492,46.6,9.5,0.418
Jr,6-6,Jacob Evans III,Cincinnati,Amer,105,G,71.9,3.4,4.1,8.3,4.5,3.8,117.3,89.9,20.3,51.8,55.1,5.3,11.6,16.8,12.8,2,3.5,2.4,28.5,2.7,0.62,0.755,0.476,46.9,9.2,0.377
Jr,6-6,Elijah Hughes,Syracuse,ACC,91,G,70.3,3.4,3.5,5.4,3.9,1.5,106.7,96.6,22.9,50.7,54.8,1.9,12.3,15.1,14.8,1.2,3,2,33.8,2.5,0.663,0.763,0.497,55.2,11.6,0.343
So,6-7,Devin Vassell,Florida St.,ACC,63,G,44.1,3.4,3.1,10,6.1,3.9,122.8,89.1,19,55.9,57.9,4.9,14.5,11.5,8.7,2,3.9,2.9,22.5,2.9,0.676,0.72,0.514,40.7,8,0.417
Fr,6-5,Carlton Carrington,Pittsburgh,ACC,33,G,83.1,3.4,3.6,3,2.3,0.7,109.8,99.4,23,49.6,53,1.6,16.8,24,15.2,2.1,0.9,1,24.1,2.8,0.538,0.785,0.511,52.3,11,0.322
Sr,6-4,Will Richard,Florida,SEC,140,G,71.6,3.3,3.4,5.6,3.7,2,119.9,96.2,17.7,56.3,60.2,5.2,12.4,8.5,13.6,1.1,1.9,2.3,28.7,2.7,0.678,0.825,0.607,56.8,9.5,0.354
So,6-6,Aaron Nesmith,Vanderbilt,SEC,46,G,55.5,3.3,3,5,4,1,111.6,100.9,21.2,56.1,59.8,3.6,16.1,9.4,14.5,0.8,2.3,1.7,28.6,3.8,0.582,0.825,0.485,58.5,11.7,0.41
Sr,6-2,Devin Cannady,Princeton,Ivy,101,G,68.1,3.3,3.1,4.5,3.8,0.8,116.3,101.9,21.6,56,60.2,1.9,13.8,10.6,12,1.2,0.7,2.1,29.3,2.5,0.57,0.898,0.498,60.8,12.3,0.401
Sr,6-7,Caleb Martin,Nevada,MWC,139,G,70.3,3.3,3.3,5.6,4.3,1.2,110.5,97.5,22.8,52,55.4,3.4,13.8,12.7,12.9,1.3,2.2,1.9,33.9,3,0.609,0.725,0.493,59.3,12.5,0.359
Jr,6-4,Ty-Shon Alexander,Creighton,BE,95,G,68,3.3,3.3,4.4,3.3,1.1,108.1,97.6,22,52.2,56.4,1.4,13.1,14.4,14.4,1.5,0.9,1.9,30.2,2.2,0.585,0.814,0.475,59.2,11.5,0.37
Sr,6-4,Javon Freeman-Liberty,DePaul,BE,101,G,70.1,3.3,3.4,4.3,2.9,1.4,102.9,98.2,27,48.1,52.4,4.9,14.9,18.4,14.8,1.3,0.8,3.3,33.6,2.9,0.601,0.732,0.49,31.9,7.6,0.308
Jr,6-7,Johnny Juzang,UCLA,P12,85,G,54.3,3.3,3.2,4.4,3.6,0.8,105.7,94.6,23.2,49.8,53,3.3,13.6,10,13.1,1,0.8,1.3,18.1,2.5,0.621,0.853,0.479,37.9,9.1,0.352
Jr,6-7,Reggie Bullock,North Carolina,ACC,99,G,55.1,3.3,3.2,8.1,5.7,2.4,119.4,90.9,17.2,55,56.4,6.6,14.5,11.9,12.6,1.7,0.8,1.9,14.5,2,0.619,0.72,0.512,59.8,10.9,0.384
So,6-5,Isaiah Joe,Arkansas,SEC,60,G,73.5,3.3,3.7,5.8,4.6,1.2,110,96.1,21,53.4,56.9,2,9.7,10.8,11.8,1.2,0.7,2.5,24,2.3,0.62,0.827,0.429,76.3,15.5,0.378
Sr,6-6,Keon Ellis,Alabama,SEC,65,G,59.7,3.2,3.2,7.9,4,3.8,118.9,90.7,16.1,56.9,61.5,6,15.8,10.2,18.3,1.1,2.1,3.4,37.4,3.8,0.686,0.831,0.588,59.7,8.1,0.371
Sr,6-5,J.P. Macura,Xavier,BE,140,G,60.4,3.2,3.1,6.1,3.8,2.3,113.8,96.5,20.8,52.9,57.4,5.2,9.4,16.1,16.5,1.5,0.8,2.7,36.1,3.3,0.616,0.796,0.532,46.8,8.5,0.35
Jr,6-6,DeAndre' Bembry,Saint Joseph's,A10,101,G,89.6,3.2,4.2,5.8,3.5,2.4,103.8,95.9,24.8,50.4,52.8,4.3,16.3,22.1,16.4,1.5,2.4,2.4,39.8,2.7,0.687,0.628,0.52,30.3,6.3,0.312
Fr,6-6,Isaac Okoro,Auburn,SEC,28,G,69.3,3.2,3.4,5.3,3.3,2,112.8,95.3,20,55.3,58.5,6.4,8.8,13.1,17.6,1,3.1,1.7,54.9,3.5,0.678,0.672,0.603,28.7,4.5,0.286
Jr,6-4,Michael Frazier,Florida,SEC,101,G,59.4,3.2,3.7,8.5,5.1,3.4,119.6,87.8,17.6,60.2,63,2.9,13.8,9,16.8,0.9,0.5,2.3,21.9,2.5,0.583,0.854,0.474,73.2,12.8,0.432
Sr,6-6,Antonio Reeves,Kentucky,SEC,152,G,71.1,3.2,2.3,2.1,3.2,-1.2,109.4,106,23.4,53.4,56.7,2.3,9.6,9,13.2,0.9,0.9,1.2,26,2.3,0.59,0.8,0.502,43.2,10,0.384
Sr,6-6,Ron Harper Jr.,Rutgers,B10,120,G,71.1,3.2,3.6,5.3,3.5,1.8,109.5,93.1,21.2,51.3,54.4,3.8,15.9,10,11.3,1.2,2.6,1.6,28.3,2.8,0.627,0.738,0.516,43.4,9,0.34
Sr,6-4,Gian Clavell,Colorado St.,MWC,68,G,51.7,3.2,3.4,4.9,3.5,1.4,107.8,97.9,24,50.2,54,3.1,15.4,12.3,12.5,1.1,2,2.6,38,2.8,0.59,0.696,0.464,49.1,11.2,0.361
Sr,6-5,Sindarius Thornwell,South Carolina,SEC,131,G,75.9,3.2,4.1,6.9,4,2.9,104.1,92.3,25.6,45.1,51.7,5.7,13.1,20.6,18.1,1.2,2.2,2.8,48.2,3.1,0.554,0.771,0.419,34.6,7.4,0.34
Sr,6-5,Hunter Sallis,Wake Forest,ACC,134,G,62.2,3.2,3.3,4.5,2.9,1.7,111.1,97.5,22,53.7,57.3,2.7,12.2,14,14.9,1.3,1.6,2,28.6,2.8,0.654,0.787,0.558,34.9,6.9,0.332
So,6-3,Immanuel Quickley,Kentucky,SEC,67,G,60.9,3.2,3.1,4.9,3,1.9,113.6,94,19.3,49.9,57.8,1.4,11.2,11.5,15.4,1.2,0.4,1.5,45.5,2.7,0.551,0.895,0.409,48.4,8.2,0.397
So,6-7,Dwayne Bacon,Florida St.,ACC,69,G,71.9,3.2,3.3,3.3,3.2,0.1,105.6,96.9,27.4,49.7,53.3,4.7,14.6,11,14.7,0.8,0.3,1.9,31.5,2.6,0.631,0.733,0.51,30.6,7.9,0.312
So,6-3,Malik Newman,Kansas,B12,68,G,72.5,3.2,3.2,4,3.3,0.7,111,99,20.5,53.9,57.1,1.6,13.2,12.5,15,1.3,0.4,1.5,26.6,2.1,0.542,0.78,0.472,53.4,10.2,0.399
Sr,6-5,John Tonje,Wisconsin,B10,163,G,48.5,3.1,2.7,3.5,3.4,0.1,111.9,100.5,22.2,54.7,61.2,3,13.7,9,15,0.8,1,1.3,45.7,2.6,0.625,0.858,0.535,49.7,9.2,0.373
Sr,6-7,Emanuel Miller,TCU,B12,147,G,70.1,3.1,3.5,4.3,3,1.3,109.9,94.3,20.8,51.8,55.6,9,17.3,10.7,15.4,1,1.8,1.7,38,2.7,0.624,0.734,0.525,15.2,2.8,0.319
Fr,6-6,Rashad Vaughn,UNLV,MWC,23,G,57.3,3.1,3.2,4.1,4.6,-0.5,101.4,98.7,28.8,52.1,54.7,2.3,13.9,12.2,14.4,0.7,1.1,1.5,29.9,2.9,0.552,0.694,0.481,43,11.7,0.383
So,6-2,Lindell Wigginton,Iowa St.,B12,56,G,63.1,3.1,3,3.1,3,0.1,102,100.1,27.4,50.3,54.2,2.6,11.6,16.7,17.8,1,1.4,1.6,45.7,3.1,0.556,0.687,0.429,44.7,10,0.397
So,6-4,Antonio Blakeney,LSU,SEC,64,G,79.2,3.1,2.4,1.7,3.1,-1.4,110.1,108.3,20.7,51.4,54.9,3.1,11.1,8.1,11,1,0.4,1.1,33.5,1.9,0.682,0.736,0.51,40.6,8.1,0.347
Jr,6-6,Ricky Council IV,Arkansas,SEC,83,G,65.4,3.1,3.4,4,2.9,1.1,105.1,94.6,24.1,47.5,54.4,4.1,13,13.3,16.2,0.9,1.3,2,47.2,2.1,0.62,0.791,0.486,29.7,6,0.298
Sr,6-5,Chaz Lanier,Tennessee,SEC,133,G,55,3.1,2.5,3.5,3.5,0,116.8,105.3,19.8,56.4,59.1,2.4,12.1,9.3,11.5,1.4,0.7,1.6,22.7,2,0.667,0.823,0.517,55.8,11.4,0.401
Fr,6-7,Bryce McGowens,Nebraska,B10,31,G,79.1,3,2.7,0.8,2.2,-1.3,100.1,103.1,26.2,45.3,53.3,2.4,14.6,8.6,13.4,0.7,1,1.2,49.1,2.4,0.562,0.831,0.478,36.8,7.9,0.274
Sr,6-5,Xavier Silas,Northern Illinois,MAC,73,G,62,3,2.3,1.6,2.9,-1.2,101.1,105.2,28.8,47.5,54.8,4,12.4,13.7,18.5,0.6,1.1,1.8,51.8,3.6,0.573,0.8,0.45,37.1,8.8,0.345
Fr,6-6,Devin Booker,Kentucky,SEC,38,G,51.9,3,3,8.2,5.9,2.3,121,86.2,20.5,57.1,60,2.6,7.8,10.9,13.8,1.1,0.3,1.3,22.3,2.8,0.712,0.828,0.527,49.1,10.8,0.411
Jr,6-5,Quentin Grimes,Houston,Amer,96,G,70.5,3,3.6,4.8,3.1,1.7,105.3,92.4,22.3,51,53.6,3.4,11.2,14.6,18.6,1.1,0.9,1.9,27.4,3.1,0.602,0.701,0.464,54.2,11.4,0.366
Sr,6-6,Royce O'Neale,Baylor,B12,132,G,75.4,3,3.6,5.8,3.6,2.2,113.9,93.8,19,55.8,60,6.5,17.1,20,21.3,1.6,1.3,2.6,47.1,3.2,0.62,0.751,0.531,42,5.8,0.397
Sr,6-6,Edwin Ubiles,Siena,MAAC,98,G,76.8,3,3.1,4.2,3.4,0.8,106.8,99.1,23.3,52.7,54.7,4.6,10.5,12.6,15.5,1,2.3,2.2,27.1,1.6,0.624,0.667,0.521,17.3,3.8,0.37
Sr,6-5,D.J. Kennedy,St. John's,BE,129,G,75,3,3.7,6.8,4.1,2.7,107.1,91.7,21.3,49.2,55.1,6.3,17.2,16.8,19.1,1.2,1.7,2.8,53.3,2.6,0.656,0.746,0.472,31.3,5.2,0.358
Sr,6-6,Jordan Schakel,San Diego St.,MWC,117,G,53,3,3,5.4,3.5,1.9,125.4,93.9,15.2,59.4,62.7,3.6,13,6.4,8.8,1.5,0.6,1.8,22.6,3.9,0.62,0.863,0.476,70.6,11.2,0.428
So,6-6,P.J. Hairston,North Carolina,ACC,70,G,43.4,2.9,2.3,8.1,6.6,1.5,113.8,91.8,24,49.9,54.3,7.6,11.1,10.1,11.9,1.1,1.6,2.3,30.9,3.6,0.618,0.798,0.458,64.1,15.7,0.348
Jr,6-5,Nate Darling,Delaware,CAA,92,G,59.3,2.9,2.2,1.7,3.1,-1.4,110.5,107.7,21.9,57.6,61,1.4,9.7,15.5,19.5,1.1,0.8,1,24.9,2,0.646,0.848,0.529,57.7,10.9,0.406
Sr,6-3,Quincy Olivari,Xavier,BE,138,G,59.4,2.9,2.5,1.8,2.8,-1,104.9,104.5,24.8,51.5,55.5,1.7,17.8,12.1,14.3,1,0.1,1.7,30.5,2.5,0.555,0.788,0.436,55.4,12.8,0.386
Sr,6-4,Terence Davis,Mississippi,SEC,120,G,54.8,2.9,3.1,5.3,3.6,1.7,104.8,96.8,26.3,51.6,54.3,5.3,17.1,18.4,17.6,1,2.6,2.7,27.7,4.3,0.676,0.718,0.522,42.1,10,0.339
Fr,6-6,Josh Green,Arizona,P12,30,G,71.7,2.9,4.2,5.7,2.1,3.6,107.6,88.2,20.5,47.4,52.7,4.8,11.9,16,14.7,1.6,1.6,2.8,38,3.2,0.64,0.78,0.446,28.9,5.1,0.361
Sr,6-7,Kris Joseph,Syracuse,BE,138,G,63.4,2.9,3.7,5.2,3,2.2,107.6,89.6,20.5,50.1,54.7,5.9,12.5,9.9,17,0.9,2,2.8,50,2.4,0.708,0.702,0.5,31,5.4,0.336
Sr,6-3,Keaton Wallace,UTSA,CUSA,111,G,72.9,2.9,2.6,2.2,2.9,-0.7,103.1,106.1,25.2,48.4,52.7,2.2,12.6,17.4,14,1.4,1.2,1.7,21.9,2.8,0.571,0.817,0.452,55.1,13,0.34
Sr,6-7,Solomon Hill,Arizona,P12,139,G,71.6,2.9,3.4,5,3.1,1.8,108.9,93.3,20.2,53.8,58.2,7.8,14.9,15.8,21.6,1.1,1.2,1.9,46,3.4,0.688,0.745,0.528,30.3,4.6,0.375
So,6-5,Bruce Brown Jr.,Miami FL,ACC,52,G,64.7,2.9,4.2,6.4,2.8,3.6,107.3,92.1,21.7,49.3,53.2,5.2,17.1,20.9,18.1,1.7,2.1,2.7,39.8,2.9,0.592,0.702,0.502,32.3,5.5,0.316
Sr,6-6,Davon Reed,Miami FL,ACC,131,G,65.5,2.9,3.4,5.1,3.1,2,111.2,95.5,19.5,52.9,56.9,2.9,12.4,12.5,16.3,1.2,1.4,1.9,34.7,2.7,0.576,0.777,0.466,50.3,8.8,0.395
Sr,6-3,Markel Brown,Oklahoma St.,B12,133,G,75,2.9,3.7,5.3,3.3,2,105,93.3,21.9,49.5,54.3,3,13,16.1,16.1,1.3,3,2,43.8,2.8,0.629,0.734,0.483,33.7,6.1,0.345
Sr,6-6,Brooks Barnhizer,Northwestern,B10,95,G,51.7,2.9,4.2,5.4,2.8,2.7,105.7,92.4,22.3,46.2,51.4,4.9,20.9,15.2,12.7,1.6,2.8,2.9,33.9,2.2,0.543,0.78,0.461,30.5,6,0.309
So,6-5,Rawle Alkins,Arizona,P12,60,G,60.7,2.9,3.5,5.2,3.3,1.8,108.9,95.6,22.3,52.1,55.8,7.5,12.4,14,19,1.1,2.1,2.1,36.8,3,0.616,0.729,0.505,39.2,7.1,0.365
Sr,6-5,James Nunnally,UC Santa Barbara,BW,118,G,73.4,2.8,2.7,2.3,3,-0.7,108.2,100.5,24,53.8,58.5,4.1,16.4,15.8,19,0.9,0.8,1.2,41.3,2.7,0.685,0.791,0.509,40.2,8.1,0.387
Jr,6-7,Deng Adel,Louisville,ACC,89,G,58.6,2.8,3.6,4,2.6,1.4,107.1,93.5,21.6,50.2,54.3,2.6,14.2,14.1,16.7,1.3,1.1,1.2,32,2.2,0.651,0.776,0.489,36.2,7,0.349
Sr,6-6,Ben Sheppard,Belmont,MVC,120,G,61,2.8,2.6,1.9,2.1,-0.2,109.1,101.8,22.2,56.1,58.6,3.2,13.7,12.8,14.5,1.3,0.6,2.2,26.4,3,0.647,0.697,0.568,47.7,9.7,0.369
Sr,6-4,Tyler Johnson,Fresno St.,MWC,121,G,65.7,2.8,2.7,3.9,2.9,1,108,100,21.6,49.7,53.1,5.6,14.4,20.2,14.1,1.8,1.1,2.4,32.3,3.8,0.587,0.718,0.474,30.2,5.7,0.367
Sr,6-7,Danuel House,Texas A&M,SEC,118,G,65.1,2.8,3,3.7,3.7,0,105.6,100,24.2,49.3,53.3,4.8,12.5,13.6,15.4,1.1,1.7,1.4,42.4,2.5,0.623,0.698,0.481,45.6,9.9,0.338
