PLAYER_ID,PLAYER_NAME,SEASON,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,BENCH_PRESS,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,MODIFIED_LANE_AGILITY_TIME
202350,Daniel Orton,2010,C,80.75,6' 8.75'',81.5,6' 9.5'',269.2,88.25,7' 4.25'',110.5,9' 2.5'',13.8,8.5,9.75,13,24.0,30.5,12.32,3.39,
12334,Artsiom Parakhouski,2010,C,82.25,6' 10.25'',83.75,6' 11.75'',268.2,85.0,7' 1'',109.5,9' 1.5'',6.0,9.0,10.5,16,25.5,26.5,12.07,3.33,
202335,Patrick Patterson,2010,PF,80.0,6' 8'',81.25,6' 9.25'',239.6,85.25,7' 1.25'',107.0,8' 11'',5.3,9.25,10.25,17,28.5,33.5,11.14,3.25,
202354,Dexter Pittman,2010,PF-C,81.5,6' 9.5'',83.5,6' 11.5'',302.6,90.0,7' 6'',111.0,9' 3'',20.8,10.25,10.5,,,,,,
202360,Andy Rautins,2010,SG,76.25,6' 4.25'',77.0,6' 5'',191.6,79.0,6' 7'',100.0,8' 4'',6.2,8.0,9.75,8,23.5,30.5,11.27,3.49,
12338,Ryan Richards,2010,PF,82.5,6' 10.5'',83.75,6' 11.75'',230.2,85.5,7' 1.5'',110.0,9' 2'',8.0,9.0,9.75,4,25.0,28.5,11.33,3.37,
202383,Stanley Robinson,2010,SF,78.5,6' 6.5'',79.75,6' 7.75'',213.2,84.0,7' 0'',107.5,8' 11.5'',8.3,9.0,9.0,6,,37.5,11.65,3.23,
202336,Larry Sanders,2010,PF-C,81.25,6' 9.25'',82.5,6' 10.5'',222.4,89.75,7' 5.75'',112.0,9' 4'',4.6,9.75,11.0,7,25.5,28.0,12.49,3.27,
12341,Jon Scheyer,2010,PG-SG,76.75,6' 4.75'',78.0,6' 6'',180,75.25,6' 3.25'',99.0,8' 3'',5.4,7.75,9.5,,,,,,
202362,Lance Stephenson,2010,SG,76.5,6' 4.5'',77.75,6' 5.75'',227,82.5,6' 10.5'',103.0,8' 7'',9.3,9.0,10.25,10,27.0,33.0,11.39,3.38,
12343,Mikhail Torrance,2010,PG,76.0,6' 4'',77.0,6' 5'',208.8,79.5,6' 7.5'',103.0,8' 7'',7.0,8.75,9.5,8,23.0,32.0,11.43,3.17,
202323,Evan Turner,2010,SG,77.75,6' 5.75'',79.0,6' 7'',213.8,80.0,6' 8'',103.5,8' 7.5'',8.6,8.75,9.5,9,27.5,34.5,11.06,3.27,
202327,Ekpe Udoh,2010,PF,80.75,6' 8.75'',81.75,6' 9.75'',237.4,88.5,7' 4.5'',106.5,8' 10.5'',8.0,9.5,8.75,10,31.0,33.5,11.15,3.29,
12346,Jarvis Varnado,2010,PF-C,80.25,6' 8.25'',82.0,6' 10'',210.2,87.5,7' 3.5'',109.5,9' 1.5'',9.5,9.25,9.5,3,29.5,32.5,11.61,3.37,
