Player_lower,Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,RimFG%,RimAst%,MidFG%,MidAst%,ThreeFG%,ThreeAst%,DunkFG%,DunkAst%
daniel gafford,Daniel Gafford,316,78,206,61,139,19,0,0,0,160,9,122,80.20304568527918,39.46360153256705,30.5,23.75,0.0,0.0,94.67455621301775,43.262411347517734
daniel hamilton,Daniel Hamilton,75,48,12,130,247,16,93,183,71,11,0,5,60.97560975609756,13.793103448275861,34.48275862068966,10.95890410958904,33.69565217391305,43.292682926829265,100.0,31.25
daniel orton,Daniel Orton,31,12,20,17,29,14,0,2,0,13,3,11,72.09302325581395,39.21568627450981,36.95652173913043,45.16129032258064,0.0,0.0,81.25,45.83333333333333
daniel oturu,Daniel Oturu,292,127,162,78,148,50,20,34,19,65,8,49,69.68973747016707,35.68281938325991,34.51327433628318,39.0625,37.03703703703704,48.717948717948715,89.04109589041096,42.98245614035088
danny wolf,Danny Wolf,249,170,103,49,94,4,73,142,58,12,1,6,59.427207637231504,29.261363636363637,34.26573426573427,7.547169811320755,33.95348837209302,44.274809160305345,92.3076923076923,33.33333333333333
darington hobson,Darington Hobson,117,70,44,37,106,7,39,69,27,16,3,12,62.56684491978609,27.32919254658385,25.874125874125873,15.909090909090908,36.11111111111111,40.909090909090914,84.21052631578947,42.857142857142854
dariq whitehead,Dariq Whitehead,24,21,12,17,37,5,42,56,36,2,2,1,53.333333333333336,33.33333333333333,31.48148148148148,22.727272727272727,42.857142857142854,46.15384615384615,50.0,33.33333333333333
darius garland,Darius Garland,10,6,2,8,7,0,11,12,6,0,0,0,62.5,16.666666666666664,53.333333333333336,0.0,47.82608695652174,35.294117647058826,0.0,0.0
darius johnson-odom,Darius Johnson-Odom,200,132,70,137,239,40,221,328,195,26,8,16,60.24096385542169,25.925925925925924,36.43617021276596,22.598870056497177,40.255009107468126,46.875,76.47058823529412,38.095238095238095
darius miller,Darius Miller,77,32,22,143,166,17,157,247,149,15,2,9,70.64220183486239,22.22222222222222,46.27831715210356,10.625,38.86138613861386,48.69281045751634,88.23529411764706,37.5
darius morris,Darius Morris,189,84,91,160,195,35,22,77,14,35,3,31,69.23076923076923,32.5,45.07042253521127,17.94871794871795,22.22222222222222,38.88888888888889,92.10526315789474,46.96969696969697
daron holmes ii,DaRon Holmes II,472,159,334,119,212,63,39,70,35,242,12,201,74.80190174326465,41.43920595533499,35.95166163141994,34.61538461538461,35.77981651376147,47.2972972972973,95.2755905511811,45.372460496613996
darrun hilliard,Darrun Hilliard,189,132,75,88,142,27,209,356,170,26,5,12,58.87850467289719,28.40909090909091,38.26086956521739,23.47826086956522,36.991150442477874,44.854881266490764,83.87096774193549,31.57894736842105
david johnson,David Johnson,76,53,20,48,80,2,37,69,23,13,2,9,58.91472868217055,20.833333333333336,37.5,4.0,34.90566037735849,38.333333333333336,86.66666666666667,40.909090909090914
david roddy,David Roddy,302,141,155,108,140,28,80,167,67,53,11,37,68.17155756207674,33.91684901531728,43.54838709677419,20.588235294117645,32.388663967611336,45.57823129251701,82.8125,41.11111111111111
davion mitchell,Davion Mitchell,156,94,34,40,85,4,112,186,72,6,0,4,62.4,17.894736842105264,32.0,9.090909090909092,37.58389261744966,39.130434782608695,100.0,40.0
davon reed,Davon Reed,152,112,48,84,155,16,202,310,163,25,5,18,57.57575757575758,24.0,35.146443514644346,16.0,39.453125,44.657534246575345,83.33333333333334,41.86046511627907
day'ron sharpe,Day'Ron Sharpe,90,60,51,22,42,15,0,2,0,20,1,15,60.0,36.17021276595745,34.375,40.54054054054054,0.0,0.0,95.23809523809523,42.857142857142854
de'aaron fox,De'Aaron Fox,131,72,25,66,110,13,17,52,13,20,1,10,64.5320197044335,16.025641025641026,37.5,16.455696202531644,24.637681159420293,43.333333333333336,95.23809523809523,33.33333333333333
de'andre hunter,De'Andre Hunter,137,71,42,105,133,39,67,93,66,27,1,13,65.86538461538461,23.463687150837988,44.11764705882353,27.083333333333332,41.875,49.62406015037594,96.42857142857143,32.5
de'anthony melton,De'Anthony Melton,67,40,26,13,38,4,21,53,18,18,4,11,62.616822429906534,27.956989247311824,25.49019607843137,23.52941176470588,28.37837837837838,46.15384615384615,81.81818181818183,37.93103448275862
deandre ayton,Deandre Ayton,185,44,109,79,108,47,12,23,11,87,2,63,80.78602620087337,37.07482993197279,42.24598930481284,37.301587301587304,34.285714285714285,47.82608695652174,97.75280898876404,42.0
deandre liggins,DeAndre Liggins,57,38,17,41,78,9,50,86,48,7,3,1,60.0,22.972972972972975,34.45378151260504,18.0,36.76470588235294,48.97959183673469,70.0,12.5
deandre' bembry,DeAndre' Bembry,139,54,60,66,111,13,34,94,31,29,1,14,72.02072538860104,30.15075376884422,37.28813559322034,16.455696202531644,26.5625,47.69230769230769,96.66666666666667,32.55813953488372
dejounte murray,Dejounte Murray,100,66,30,68,133,12,34,84,32,14,3,11,60.24096385542169,23.076923076923077,33.83084577114428,15.0,28.8135593220339,48.484848484848484,82.35294117647058,44.0
delon wright,Delon Wright,229,101,50,58,103,2,38,88,22,32,2,13,69.39393939393939,17.921146953405017,36.024844720496894,3.3333333333333335,30.158730158730158,36.666666666666664,94.11764705882352,28.888888888888886
demarcus cousins,DeMarcus Cousins,144,45,78,57,106,18,1,5,1,53,4,40,76.19047619047619,35.13513513513514,34.96932515337423,24.0,16.666666666666664,50.0,92.98245614035088,43.01075268817204
demetrius jackson,Demetrius Jackson,205,135,48,77,122,5,133,216,79,32,1,11,60.29411764705882,18.972332015810274,38.69346733668342,6.097560975609756,38.108882521489974,37.264150943396224,96.96969696969697,25.581395348837212
"dennis smith, jr.","Dennis Smith, Jr.",103,58,16,33,74,1,55,97,23,22,0,5,63.975155279503106,13.445378151260504,30.8411214953271,2.941176470588235,36.18421052631579,29.48717948717949,100.0,18.51851851851852
denzel valentine,Denzel Valentine,143,88,65,169,253,51,265,386,225,16,8,12,61.904761904761905,31.25,40.047393364928915,23.18181818181818,40.706605222734254,45.91836734693878,66.66666666666666,42.857142857142854
dereck lively ii,Dereck Lively II,74,22,55,1,7,1,2,11,2,54,1,44,77.08333333333334,42.63565891472868,12.5,50.0,15.384615384615385,50.0,98.18181818181819,44.89795918367347
derik queen,Derik Queen,156,75,67,47,86,9,7,28,7,39,4,25,67.53246753246754,30.04484304932735,35.338345864661655,16.071428571428573,20.0,50.0,90.69767441860465,39.0625
derrick caracter,Derrick Caracter,85,38,48,59,64,30,4,11,4,11,0,10,69.10569105691057,36.09022556390977,47.96747967479675,33.70786516853933,26.666666666666668,50.0,100.0,47.61904761904761
derrick favors,Derrick Favors,137,38,75,40,72,26,0,1,0,53,3,37,78.28571428571428,35.37735849056604,35.714285714285715,39.39393939393939,0.0,0.0,94.64285714285714,41.11111111111111
derrick white,Derrick White,96,46,16,51,64,14,57,85,35,7,0,2,67.6056338028169,14.285714285714285,44.34782608695652,21.53846153846154,40.140845070422536,38.04347826086957,100.0,22.22222222222222
derrick williams,Derrick Williams,448,175,266,105,207,47,85,117,81,123,7,99,71.91011235955057,37.254901960784316,33.65384615384615,30.92105263157895,42.07920792079208,48.795180722891565,94.61538461538461,44.5945945945946
desmond bane,Desmond Bane,291,143,136,104,199,48,241,317,198,24,0,19,67.05069124423963,31.85011709601874,34.32343234323432,31.57894736842105,43.18996415770609,45.10250569476082,100.0,44.18604651162791
devin booker,Devin Booker,343,160,234,157,304,76,80,141,79,143,19,112,68.19085487077535,40.55459272097054,34.05639913232104,32.61802575107296,36.199095022624434,49.685534591194966,88.27160493827161,43.92156862745098
devin carter,Devin Carter,353,220,116,135,262,16,326,551,259,74,6,39,61.60558464223386,24.733475479744136,34.005037783375315,10.596026490066226,37.172177879133415,44.27350427350427,92.5,34.51327433628318
devin ebanks,Devin Ebanks,90,46,48,51,98,25,3,26,2,10,0,7,66.17647058823529,34.78260869565217,34.22818791946309,32.89473684210527,10.344827586206897,40.0,100.0,41.17647058823529
devin vassell,Devin Vassell,75,36,43,51,83,11,70,98,64,32,2,27,67.56756756756756,36.440677966101696,38.059701492537314,17.741935483870968,41.66666666666667,47.76119402985074,94.11764705882352,45.76271186440678
devon hall,Devon Hall,126,109,43,64,131,14,115,182,101,14,2,8,53.61702127659574,25.443786982248522,32.82051282051282,17.94871794871795,38.72053872053872,46.75925925925926,87.5,36.36363636363637
devonte' graham,Devonte' Graham,140,117,26,107,203,11,293,424,199,9,0,5,54.474708171206224,15.66265060240964,34.516129032258064,9.322033898305085,40.86471408647141,40.447154471544714,100.0,35.714285714285715
dewan huell,Dewan Huell,169,74,90,55,98,25,0,5,0,82,9,49,69.54732510288066,34.74903474903475,35.947712418300654,31.25,0.0,0.0,90.10989010989012,37.404580152671755
dexter pittman,Dexter Pittman,105,38,61,35,36,19,0,0,0,40,2,31,73.42657342657343,36.74698795180723,49.29577464788733,35.18518518518518,0.0,0.0,95.23809523809523,43.66197183098591
deyonta davis,Deyonta Davis,87,34,57,32,45,20,0,0,0,50,1,39,71.900826446281,39.58333333333333,41.55844155844156,38.46153846153847,0.0,0.0,98.0392156862745,43.82022471910113
diamond stone,Diamond Stone,123,54,76,40,70,13,0,0,0,48,0,41,69.49152542372882,38.19095477386934,36.36363636363637,24.528301886792452,0.0,0.0,100.0,46.06741573033708
dillon brooks,Dillon Brooks,260,153,87,175,258,52,133,230,103,29,1,15,62.95399515738499,25.072046109510087,40.415704387990765,22.90748898678414,36.63911845730027,43.64406779661017,96.66666666666667,34.090909090909086
dillon jones,Dillon Jones,331,192,55,131,171,10,98,207,80,13,1,2,63.28871892925431,14.248704663212436,43.377483443708606,7.092198581560284,32.131147540983605,44.9438202247191,92.85714285714286,13.333333333333334
dion waiters,Dion Waiters,136,88,44,61,108,18,68,138,57,32,4,16,60.71428571428571,24.444444444444443,36.09467455621302,22.78481012658228,33.00970873786408,45.6,88.88888888888889,33.33333333333333
domantas sabonis,Domantas Sabonis,266,97,147,92,112,43,5,9,5,36,3,33,73.27823691460054,35.59322033898305,45.09803921568628,31.851851851851855,35.714285714285715,50.0,92.3076923076923,47.82608695652174
dominique jones,Dominique Jones,102,46,40,68,110,5,52,112,38,11,1,6,68.91891891891892,28.169014084507044,38.20224719101123,6.8493150684931505,31.70731707317073,42.22222222222222,91.66666666666666,35.294117647058826
donovan clingan,Donovan Clingan,268,110,190,28,47,16,2,7,2,102,7,93,70.8994708994709,41.48471615720524,37.333333333333336,36.36363636363637,22.22222222222222,50.0,93.57798165137615,47.69230769230769
donovan mitchell,Donovan Mitchell,114,74,33,70,108,6,113,220,95,25,7,19,60.63829787234043,22.448979591836736,39.325842696629216,7.894736842105263,33.933933933933936,45.67307692307692,78.125,43.18181818181818
donte divincenzo,Donte DiVincenzo,120,67,50,53,60,8,130,214,96,20,4,13,64.1711229946524,29.411764705882355,46.902654867256636,13.114754098360656,37.7906976744186,42.47787610619469,83.33333333333334,39.39393939393939
doron lamb,Doron Lamb,94,53,42,98,145,28,144,159,139,0,0,0,63.94557823129252,30.88235294117647,40.32921810699588,22.22222222222222,47.524752475247524,49.11660777385159,0.0,0.0
doug mcdermott,Doug McDermott,588,242,390,280,367,139,274,325,258,19,1,16,70.8433734939759,39.87730061349693,43.27666151468315,33.17422434367542,45.742904841402336,48.49624060150376,95.0,45.714285714285715
drake powell,Drake Powell,49,22,26,17,28,5,36,59,36,10,2,8,69.01408450704226,34.66666666666667,37.77777777777778,22.727272727272727,37.89473684210527,50.0,83.33333333333334,44.44444444444444
draymond green,Draymond Green,248,148,108,156,273,81,90,159,84,30,1,21,62.62626262626263,30.337078651685395,36.36363636363637,34.177215189873415,36.144578313253014,48.275862068965516,96.7741935483871,41.17647058823529
